season,posteam,plays,success_rate
2021,KC,1116,0.510752688172043
2021,TB,1121,0.49420160570918825
2021,GB,1052,0.48574144486692017
2021,NE,1037,0.4840887174541948
2021,BUF,1125,0.47733333333333333
2021,LAC,1123,0.4764024933214604
2021,DAL,1143,0.46981627296587924
2021,PHI,1067,0.46860356138706655
2021,ARI,1112,0.4676258992805755
2021,BAL,1177,0.4638912489379779
2021,LA,1044,0.46360153256704983
2021,SF,1032,0.4573643410852713
2021,LV,1072,0.44869402985074625
2021,DEN,1032,0.44670542635658916
2021,TEN,1119,0.4459338695263628
2021,IND,1044,0.4425287356321839
2021,CIN,1037,0.4416586306653809
2021,JAX,1024,0.439453125
2021,CLE,1043,0.439117929050815
2021,WAS,1066,0.43902439024390244
2021,SEA,947,0.43189017951425557
2021,DET,1056,0.42045454545454547
2021,NYJ,1036,0.416023166023166
2021,MIN,1076,0.4144981412639405
2021,MIA,1085,0.4129032258064516
2021,CHI,1067,0.41237113402061853
2021,CAR,1099,0.4094631483166515
2021,NO,1040,0.40576923076923077
2021,ATL,998,0.40380761523046094
2021,NYG,1042,0.3925143953934741
2021,PIT,1101,0.39146230699364215
2021,HOU,1006,0.37375745526838966
2022,KC,1085,0.504147465437788
2022,BUF,1018,0.4901768172888016
2022,PHI,1105,0.4832579185520362
2022,CIN,1034,0.47292069632495165
2022,JAX,1066,0.4634146341463415
2022,SF,1030,0.4621359223300971
2022,GB,1036,0.4575289575289575
2022,NO,1005,0.45671641791044776
2022,DET,1081,0.45605920444033304
2022,ATL,1000,0.455
2022,BAL,1030,0.4533980582524272
2022,PIT,1101,0.45049954586739327
2022,MIN,1114,0.4488330341113106
2022,NYG,1077,0.44846796657381616
2022,DAL,1101,0.44595821980018163
2022,MIA,995,0.44522613065326633
2022,SEA,1033,0.44240077444336884
2022,LAC,1137,0.44063324538258575
2022,CLE,1099,0.44040036396724297
2022,TB,1146,0.43804537521815007
2022,LV,1048,0.4312977099236641
2022,TEN,979,0.41062308478038817
2022,LA,987,0.41033434650455924
2022,NE,986,0.40872210953346855
2022,CAR,971,0.40679711637487126
2022,ARI,1142,0.4063047285464098
2022,CHI,985,0.4050761421319797
2022,WAS,1135,0.4035242290748899
2022,IND,1100,0.3981818181818182
2022,NYJ,1063,0.3894637817497648
2022,DEN,1070,0.3813084112149533
2022,HOU,1011,0.36894164193867457
2023,SF,996,0.5110441767068273
2023,BUF,1094,0.489945155393053
2023,DAL,1104,0.473731884057971
2023,BAL,1064,0.47368421052631576
2023,MIA,1036,0.472007722007722
2023,DET,1117,0.4610564010743062
2023,PHI,1104,0.4592391304347826
2023,LA,1091,0.4472960586617782
2023,GB,1041,0.4457252641690682
2023,CIN,1032,0.43992248062015504
2023,SEA,984,0.43902439024390244
2023,KC,1055,0.4369668246445498
2023,MIN,1063,0.4242709313264346
2023,DEN,1002,0.42115768463073855
2023,JAX,1102,0.42105263157894735
2023,NO,1102,0.42105263157894735
2023,PIT,1008,0.41964285714285715
2023,CHI,1089,0.41781450872359965
2023,LV,997,0.41223671013039115
2023,ATL,1083,0.41089566020313945
2023,WAS,1060,0.41037735849056606
2023,LAC,1096,0.4096715328467153
2023,HOU,1078,0.4090909090909091
2023,IND,1087,0.40846366145354185
2023,ARI,1071,0.40522875816993464
2023,TEN,984,0.39735772357723576
2023,TB,1028,0.3959143968871595
2023,NE,1016,0.3887795275590551
2023,CLE,1181,0.388653683319221
2023,NYG,1049,0.3784556720686368
2023,CAR,1094,0.3756855575868373
2023,NYJ,1049,0.34985700667302194
